grid_id,connectivity
24_33,1.4166666666666667
24_34,1.9
24_35,1.5
24_36,1.4871794871794872
24_37,1.2857142857142858
24_38,1.5294117647058822
24_39,1.631578947368421
24_40,1.8571428571428572
24_41,1.45
24_42,1.34375
24_43,2.25
24_44,1.5263157894736843
24_45,1.8611111111111112
24_46,1.4565217391304348
24_47,1.4761904761904763
24_48,1.4333333333333333
24_49,1.7419354838709677
24_50,1.5
24_51,5.0
24_52,1.7692307692307692
24_53,1.6666666666666667
24_54,1.6129032258064515
24_55,1.3902439024390243
24_56,2.625
24_57,5.0
24_58,1.3571428571428572
24_59,2.0
24_60,2.8
24_61,1.7142857142857142
24_62,0.0
25_10,1.6153846153846154
25_11,1.4722222222222223
25_12,1.2105263157894737
25_13,2.6
25_18,2.75
25_19,2.5
25_20,2.0
25_21,1.7777777777777777
25_22,2.0833333333333335
25_23,2.0952380952380953
25_24,1.5714285714285714
25_25,1.4857142857142858
25_26,1.8085106382978724
25_27,1.68
25_28,1.7272727272727273
25_29,1.8
25_30,1.4523809523809523
25_31,1.625
25_32,1.7647058823529411
25_33,1.875
25_34,1.5
25_35,1.5
25_36,1.7142857142857142
25_37,1.3333333333333333
25_38,1.5454545454545454
25_39,1.4166666666666667
25_40,1.9523809523809523
25_41,1.56
25_42,1.4838709677419355
25_43,1.7777777777777777
25_44,1.9166666666666667
25_45,1.75
25_46,1.6326530612244898
25_47,1.7037037037037037
25_48,1.5789473684210527
25_49,1.4285714285714286
25_50,1.5172413793103448
25_51,1.631578947368421
25_52,1.4666666666666666
25_53,1.7222222222222223
25_54,1.3055555555555556
25_55,1.105263157894737
25_56,7.0
25_57,2.0
25_58,2.75
