OA11CD,LSOA11CD
E00046696,E01009209
E00046617,E01009202
E00047349,E01009341
E00048093,E01009499
E00047987,E01009480
E00046105,E01009087
E00046184,E01009100
E00047221,E01009315
E00175687,E01009264
E00047624,E01009412
E00048006,E01009484
E00048087,E01009498
E00046666,E01009201
E00046288,E01009124
E00046209,E01009113
E00046011,E01009071
E00045534,E01008966
E00046090,E01009083
E00047052,E01009273
E00046073,E01009079
E00046374,E01009143
E00046991,E01009276
E00045401,E01008938
E00175773,E01033615
E00046133,E01009099
E00046186,E01009105
E00046107,E01009086
E00045668,E01009000
E00175788,E01009056
E00045684,E01009009
E00045605,E01008989
E00047168,E01009301
E00045765,E01009020
E00045755,E01009017
E00045151,E01008888
E00047488,E01033650
E00047409,E01009351
E00047643,E01009413
E00046337,E01009134
E00045432,E01008958
E00046255,E01009110
E00175731,E01009194
E00045110,E01008881
E00045191,E01033637
E00046025,E01009077
E00046335,E01009130
E00045925,E01009057
E00047277,E01009314
E00045658,E01008986
E00175756,E01033630
E00047927,E01009471
E00046727,E01009218
E00047683,E01009430
E00046104,E01009087
E00046185,E01009106
E00048039,E01009490
E00047030,E01009268
E00048057,E01009502
E00046062,E01009093
E00047021,E01009263
E00047590,E01009389
E00045543,E01008970
E00047511,E01009376
E00046267,E01009135
E00045124,E01008882
E00045139,E01008886
E00047311,E01009329
E00046047,E01009067
E00045656,E01008982
E00046018,E01009071
E00046099,E01009084
E00175776,E01009194
E00047968,E01009462
E00045841,E01009043
E00047443,E01009358
E00047307,E01009335
E00046101,E01009086
E00045636,E01008997
E00045743,E01009003
E00046180,E01009104
E00045122,E01008883
E00047508,E01009373
E00046277,E01009135
E00047270,E01009312
E00047330,E01009340
E00047069,E01009296
E00047778,E01009435
E00045644,E01008984
E00047976,E01009464
E00175771,E01033622
E00045609,E01008990
E00046569,E01009184
E00048125,E01009494
E00045688,E01033632
E00046977,E01009273
E00175742,E01009446
E00046435,E01009160
E00046676,E01009192
E00047825,E01009437
E00046027,E01009077
E00046877,E01009245
E00046946,E01009249
E00047522,E01009397
E00048148,E01009516
E00047269,E01009312
E00046924,E01009251
E00045923,E01009058
E00045579,E01008976
E00046373,E01009145
E00047719,E01009426
E00047798,E01009455
E00047990,E01009478
E00045683,E01009008
E00047911,E01009470
E00045330,E01008941
E00046210,E01009111
E00045451,E01008961
E00045920,E01009059
E00047051,E01009270
E00047850,E01009443
E00045257,E01008925
E00047152,E01009297
E00045593,E01008987
E00045274,E01008930
E00046566,E01009184
E00047585,E01009389
E00047504,E01009373
E00175762,E01009342
E00047539,E01009392
E00047640,E01033646
E00175768,E01009146
E00175617,E01033565
E00046947,E01009257
E00175621,E01033567
E00046664,E01009202
E00046194,E01009115
E00046115,E01009087
E00046665,E01009202
E00047071,E01009292
E00047020,E01009266
E00046656,E01009199
E00175647,E01033557
E00045844,E01009043
E00045545,E01008972
E00045940,E01009060
E00045640,E01008996
E00045111,E01008898
E00045186,E01008906
E00047384,E01009360
E00175614,E01033561
E00047828,E01009437
E00048153,E01009516
E00045256,E01008921
E00047156,E01009298
E00045677,E01033632
E00047619,E01009411
E00047698,E01009420
E00047651,E01009401
E00045377,E01008933
E00048188,E01009507
E00048109,E01009503
E00047649,E01009401
E00046710,E01009213
E00046791,E01009233
E00046388,E01009147
E00047618,E01009412
E00175796,E01009145
E00047421,E01009355
E00047748,E01009428
E00046459,E01009167
E00045922,E01009056
E00046944,E01009257
E00045963,E01009056
E00047953,E01009463
E00047540,E01009392
E00046801,E01009221
E00047154,E01009311
E00046880,E01009245
E00045694,E01009012
E00045615,E01008991
E00046848,E01009238
E00175618,E01033565
E00047253,E01009323
E00046585,E01009187
E00046504,E01009158
E00047676,E01009409
E00046310,E01009127
E00045107,E01008897
